dataset,prefix_length,prefix_length_name,encoding_type,generation_type,preprocessing_applied,total_feature_vectors,multiplication_ratio,f1_rf,f1_dt,accuracy_rf,accuracy_dt,5_original,5_encoded,5_change,4_original,4_encoded,4_change,Declaration REJECTED by EMPLOYEE_original,Declaration REJECTED by EMPLOYEE_encoded,Declaration REJECTED by EMPLOYEE_change,Declaration SAVED by EMPLOYEE_original,Declaration SAVED by EMPLOYEE_encoded,Declaration SAVED by EMPLOYEE_change,0_original,0_encoded,0_change,1_original,1_encoded,1_change,Payment Handled_original,Payment Handled_encoded,Payment Handled_change,Declaration REJECTED by MISSING_original,Declaration REJECTED by MISSING_encoded,Declaration REJECTED by MISSING_change,2_original,2_encoded,2_change,Declaration REJECTED by ADMINISTRATION_original,Declaration REJECTED by ADMINISTRATION_encoded,Declaration REJECTED by ADMINISTRATION_change
DomesticDeclarations,24,max,simple,only_this,False,8400,1.0,0.9952669552669552,0.9961904761904762,0.9961904761904762,0.9961904761904762,0,95.64285714285714,95.64285714285714,0,1.3095238095238095,1.3095238095238095,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.023809523809523808,0.023809523809523808,0.0,2.666666666666667,2.666666666666667,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,24,max,simple,only_this,True,92,1.0,0.4,0.26666666666666666,0.4,0.2,0,65.21739130434783,65.21739130434783,0,1.0869565217391304,1.0869565217391304,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,1.0869565217391304,1.0869565217391304,0.0,25.0,25.0,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,7.608695652173914,7.608695652173914,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,1,min,simple,all_in_one,False,8400,1.0,0.9446395421871728,0.9446395421871728,0.9628571428571429,0.9628571428571429,0,95.64285714285714,95.64285714285714,0,1.3095238095238095,1.3095238095238095,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.023809523809523808,0.023809523809523808,0.0,2.666666666666667,2.666666666666667,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,1,min,frequency,all_in_one,False,8400,1.0,0.9446395421871728,0.9446395421871728,0.9628571428571429,0.9628571428571429,0,95.64285714285714,95.64285714285714,0,1.3095238095238095,1.3095238095238095,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.023809523809523808,0.023809523809523808,0.0,2.666666666666667,2.666666666666667,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,1,min,complex,all_in_one,False,8400,1.0,0.9446395421871728,0.9446395421871728,0.9628571428571429,0.9628571428571429,0,95.64285714285714,95.64285714285714,0,1.3095238095238095,1.3095238095238095,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.023809523809523808,0.023809523809523808,0.0,2.666666666666667,2.666666666666667,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,5,avg,simple,all_in_one,False,39776,5.0,0.9654282286767849,0.9654282286767849,0.9768617538401712,0.9768617538401712,0,97.48340707964603,97.48340707964603,0,0.27654867256637167,0.27654867256637167,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.01005631536604988,0.01005631536604988,0.0,1.981094127111826,1.981094127111826,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.2488938053097345,0.2488938053097345,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,5,avg,frequency,all_in_one,False,39776,5.0,0.9654282286767849,0.9654282286767849,0.9768617538401712,0.9768617538401712,0,97.48340707964603,97.48340707964603,0,0.27654867256637167,0.27654867256637167,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.01005631536604988,0.01005631536604988,0.0,1.981094127111826,1.981094127111826,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.2488938053097345,0.2488938053097345,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,5,avg,complex,all_in_one,False,39776,5.0,0.9654282286767849,0.9654282286767849,0.9768617538401712,0.9768617538401712,0,97.48340707964603,97.48340707964603,0,0.27654867256637167,0.27654867256637167,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.01005631536604988,0.01005631536604988,0.0,1.981094127111826,1.981094127111826,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.2488938053097345,0.2488938053097345,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,24,max,simple,all_in_one,False,44761,24.0,0.9692657028921605,0.9692657028921605,0.9792128130857045,0.9792128130857045,0,97.61176023770693,97.61176023770693,0,0.24574964813118563,0.24574964813118563,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.008936350841134023,0.008936350841134023,0.0,1.9056768168718305,1.9056768168718305,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.22787694644891757,0.22787694644891757,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,24,max,frequency,all_in_one,False,44761,24.0,0.9692657028921605,0.9690952462088942,0.9792128130857045,0.9788720395297325,0,97.61176023770693,97.61176023770693,0,0.24574964813118563,0.24574964813118563,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.008936350841134023,0.008936350841134023,0.0,1.9056768168718305,1.9056768168718305,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.22787694644891757,0.22787694644891757,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,24,max,complex,all_in_one,False,44761,24.0,0.9692657028921605,0.9692657028921605,0.9792128130857045,0.9792128130857045,0,97.61176023770693,97.61176023770693,0,0.24574964813118563,0.24574964813118563,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,0.0,0.008936350841134023,0.008936350841134023,0.0,1.9056768168718305,1.9056768168718305,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,0.22787694644891757,0.22787694644891757,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,1,min,simple,all_in_one,True,2,1.0,,,,,0,50.0,50.0,0,50.0,50.0,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,,,,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,,,,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,1,min,frequency,all_in_one,True,2,1.0,,,,,0,50.0,50.0,0,50.0,50.0,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,,,,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,,,,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,1,min,complex,all_in_one,True,2,1.0,,,,,0,50.0,50.0,0,50.0,50.0,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,,,,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,,,,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,5,avg,simple,all_in_one,True,79,1.0,1.0,1.0,1.0,1.0,0,79.74683544303798,79.74683544303798,0,1.2658227848101267,1.2658227848101267,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,0.0,12.658227848101266,12.658227848101266,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,6.329113924050633,6.329113924050633,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,5,avg,frequency,all_in_one,True,74,1.0,1.0,1.0,1.0,1.0,0,78.37837837837837,78.37837837837837,0,1.3513513513513513,1.3513513513513513,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,0.0,13.513513513513514,13.513513513513514,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,6.756756756756757,6.756756756756757,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,5,avg,complex,all_in_one,True,79,1.0,1.0,1.0,1.0,1.0,0,79.74683544303798,79.74683544303798,0,1.2658227848101267,1.2658227848101267,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,0.0,12.658227848101266,12.658227848101266,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,6.329113924050633,6.329113924050633,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,24,max,simple,all_in_one,True,371,13.0,1.0,1.0,1.0,1.0,0,89.4878706199461,89.4878706199461,0,0.2695417789757413,0.2695417789757413,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,0.0,8.89487870619946,8.89487870619946,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,1.3477088948787064,1.3477088948787064,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,24,max,frequency,all_in_one,True,329,13.0,1.0,1.0,1.0,1.0,0,89.96960486322189,89.96960486322189,0,0.303951367781155,0.303951367781155,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,0.0,8.206686930091186,8.206686930091186,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,1.5197568389057752,1.5197568389057752,0.023809523809523808,0,-0.023809523809523808
DomesticDeclarations,24,max,complex,all_in_one,True,371,13.0,1.0,0.9523809523809524,1.0,0.9090909090909091,0,89.4878706199461,89.4878706199461,0,0.2695417789757413,0.2695417789757413,2.666666666666667,0,-2.666666666666667,1.3095238095238095,0,-1.3095238095238095,,,,0.0,8.89487870619946,8.89487870619946,95.64285714285714,0,-95.64285714285714,0.35714285714285715,0,-0.35714285714285715,0.0,1.3477088948787064,1.3477088948787064,0.023809523809523808,0,-0.023809523809523808
