dataset,prefix_length,prefix_length_name,encoding_type,generation_type,preprocessing_applied,total_feature_vectors,multiplication_ratio,f1_rf,f1_dt,accuracy_rf,accuracy_dt,Request For Payment REJECTED by EMPLOYEE_original,Request For Payment REJECTED by EMPLOYEE_encoded,Request For Payment REJECTED by EMPLOYEE_change,6_original,6_encoded,6_change,2_original,2_encoded,2_change,Request For Payment REJECTED by ADMINISTRATION_original,Request For Payment REJECTED by ADMINISTRATION_encoded,Request For Payment REJECTED by ADMINISTRATION_change,Permit FINAL_APPROVED by DIRECTOR_original,Permit FINAL_APPROVED by DIRECTOR_encoded,Permit FINAL_APPROVED by DIRECTOR_change,Request For Payment SAVED by EMPLOYEE_original,Request For Payment SAVED by EMPLOYEE_encoded,Request For Payment SAVED by EMPLOYEE_change,5_original,5_encoded,5_change,Permit FINAL_APPROVED by SUPERVISOR_original,Permit FINAL_APPROVED by SUPERVISOR_encoded,Permit FINAL_APPROVED by SUPERVISOR_change,Payment Handled_original,Payment Handled_encoded,Payment Handled_change,4_original,4_encoded,4_change,Permit REJECTED by MISSING_original,Permit REJECTED by MISSING_encoded,Permit REJECTED by MISSING_change,7_original,7_encoded,7_change,Request For Payment REJECTED by MISSING_original,Request For Payment REJECTED by MISSING_encoded,Request For Payment REJECTED by MISSING_change,0_original,0_encoded,0_change,1_original,1_encoded,1_change,3_original,3_encoded,3_change
PrepaidTravelCost,21,max,simple,only_this,False,1679,1.0,0.9409485072689974,0.9411451434657842,0.95260663507109,0.933649289099526,2.858844550327576,0,-2.858844550327576,0,0.4169148302561048,0.4169148302561048,0.0,0.4764740917212627,0.4764740917212627,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.858844550327576,2.858844550327576,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.05955926146515784,0.05955926146515784,0.5955926146515783,0,-0.5955926146515783,0,0.9529481834425254,0.9529481834425254,0.4169148302561048,0,-0.4169148302561048,0.0,94.34187016081,94.34187016081,0.0,0.29779630732578916,0.29779630732578916,0,0.5955926146515783,0.5955926146515783
PrepaidTravelCost,21,max,simple,only_this,True,170,1.0,0.42857142857142855,0.40816326530612246,0.5714285714285714,0.47619047619047616,2.858844550327576,0,-2.858844550327576,0,2.3529411764705883,2.3529411764705883,0.0,3.5294117647058822,3.5294117647058822,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,10.0,10.0,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.5882352941176471,0.5882352941176471,0.5955926146515783,0,-0.5955926146515783,0,4.117647058823529,4.117647058823529,0.4169148302561048,0,-0.4169148302561048,0.0,74.70588235294117,74.70588235294117,0.0,1.1764705882352942,1.1764705882352942,0,3.5294117647058822,3.5294117647058822
PrepaidTravelCost,1,min,simple,all_in_one,False,1679,1.0,0.8464691943127962,0.8464691943127962,0.8957345971563981,0.8957345971563981,2.858844550327576,0,-2.858844550327576,0,0.4169148302561048,0.4169148302561048,0.0,0.4764740917212627,0.4764740917212627,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.858844550327576,2.858844550327576,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.05955926146515784,0.05955926146515784,0.5955926146515783,0,-0.5955926146515783,0,0.9529481834425254,0.9529481834425254,0.4169148302561048,0,-0.4169148302561048,0.0,94.34187016081,94.34187016081,0.0,0.29779630732578916,0.29779630732578916,0,0.5955926146515783,0.5955926146515783
PrepaidTravelCost,1,min,frequency,all_in_one,False,1679,1.0,0.8464691943127962,0.8464691943127962,0.8957345971563981,0.8957345971563981,2.858844550327576,0,-2.858844550327576,0,0.4169148302561048,0.4169148302561048,0.0,0.4764740917212627,0.4764740917212627,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.858844550327576,2.858844550327576,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.05955926146515784,0.05955926146515784,0.5955926146515783,0,-0.5955926146515783,0,0.9529481834425254,0.9529481834425254,0.4169148302561048,0,-0.4169148302561048,0.0,94.34187016081,94.34187016081,0.0,0.29779630732578916,0.29779630732578916,0,0.5955926146515783,0.5955926146515783
PrepaidTravelCost,1,min,complex,all_in_one,False,1679,1.0,0.9694113919357122,0.949078332964589,0.976303317535545,0.933649289099526,2.858844550327576,0,-2.858844550327576,0,0.4169148302561048,0.4169148302561048,0.0,0.4764740917212627,0.4764740917212627,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.858844550327576,2.858844550327576,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.05955926146515784,0.05955926146515784,0.5955926146515783,0,-0.5955926146515783,0,0.9529481834425254,0.9529481834425254,0.4169148302561048,0,-0.4169148302561048,0.0,94.34187016081,94.34187016081,0.0,0.29779630732578916,0.29779630732578916,0,0.5955926146515783,0.5955926146515783
PrepaidTravelCost,8,avg,simple,all_in_one,False,12757,8.0,0.8974639499481413,0.897981118239127,0.9204389574759945,0.921124828532236,2.858844550327576,0,-2.858844550327576,0,0.3292310104256487,0.3292310104256487,0.0,0.44681351414909465,0.44681351414909465,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.2497452379085994,2.2497452379085994,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.03135533432625225,0.03135533432625225,0.5955926146515783,0,-0.5955926146515783,0,0.43897468056753153,0.43897468056753153,0.4169148302561048,0,-0.4169148302561048,0.0,95.60241436074313,95.60241436074313,0.0,0.31355334326252254,0.31355334326252254,0,0.5879125186172298,0.5879125186172298
PrepaidTravelCost,8,avg,frequency,all_in_one,False,12757,8.0,0.9033388215696508,0.9039468809238681,0.9231824417009602,0.921124828532236,2.858844550327576,0,-2.858844550327576,0,0.3292310104256487,0.3292310104256487,0.0,0.44681351414909465,0.44681351414909465,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.2497452379085994,2.2497452379085994,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.03135533432625225,0.03135533432625225,0.5955926146515783,0,-0.5955926146515783,0,0.43897468056753153,0.43897468056753153,0.4169148302561048,0,-0.4169148302561048,0.0,95.60241436074313,95.60241436074313,0.0,0.31355334326252254,0.31355334326252254,0,0.5879125186172298,0.5879125186172298
PrepaidTravelCost,8,avg,complex,all_in_one,False,12757,8.0,0.9581119800455291,0.9391449963311025,0.953360768175583,0.9163237311385459,2.858844550327576,0,-2.858844550327576,0,0.3292310104256487,0.3292310104256487,0.0,0.44681351414909465,0.44681351414909465,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.2497452379085994,2.2497452379085994,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.03135533432625225,0.03135533432625225,0.5955926146515783,0,-0.5955926146515783,0,0.43897468056753153,0.43897468056753153,0.4169148302561048,0,-0.4169148302561048,0.0,95.60241436074313,95.60241436074313,0.0,0.31355334326252254,0.31355334326252254,0,0.5879125186172298,0.5879125186172298
PrepaidTravelCost,21,max,simple,all_in_one,False,14678,21.0,0.8901808748388068,0.8824079189472459,0.9157641395908543,0.9043321299638989,2.858844550327576,0,-2.858844550327576,0,0.2929554435209156,0.2929554435209156,0.0,0.41558795476222915,0.41558795476222915,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.0643139392287777,2.0643139392287777,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.02725166916473634,0.02725166916473634,0.5955926146515783,0,-0.5955926146515783,0,0.38833628559749284,0.38833628559749284,0.4169148302561048,0,-0.4169148302561048,0.0,95.81686878321297,95.81686878321297,0.0,0.45646545850933373,0.45646545850933373,0,0.5382204660035427,0.5382204660035427
PrepaidTravelCost,21,max,frequency,all_in_one,False,14678,21.0,0.8931760314918715,0.8933064834427296,0.9163658243080626,0.9097472924187726,2.858844550327576,0,-2.858844550327576,0,0.2929554435209156,0.2929554435209156,0.0,0.41558795476222915,0.41558795476222915,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.0643139392287777,2.0643139392287777,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.02725166916473634,0.02725166916473634,0.5955926146515783,0,-0.5955926146515783,0,0.38833628559749284,0.38833628559749284,0.4169148302561048,0,-0.4169148302561048,0.0,95.81686878321297,95.81686878321297,0.0,0.45646545850933373,0.45646545850933373,0,0.5382204660035427,0.5382204660035427
PrepaidTravelCost,21,max,complex,all_in_one,False,14678,21.0,0.9534081757280893,0.9331839544110798,0.9446450060168472,0.9043321299638989,2.858844550327576,0,-2.858844550327576,0,0.2929554435209156,0.2929554435209156,0.0,0.41558795476222915,0.41558795476222915,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.0643139392287777,2.0643139392287777,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.02725166916473634,0.02725166916473634,0.5955926146515783,0,-0.5955926146515783,0,0.38833628559749284,0.38833628559749284,0.4169148302561048,0,-0.4169148302561048,0.0,95.81686878321297,95.81686878321297,0.0,0.45646545850933373,0.45646545850933373,0,0.5382204660035427,0.5382204660035427
PrepaidTravelCost,1,min,simple,all_in_one,True,3,1.0,0.0,0.0,0.0,0.0,2.858844550327576,0,-2.858844550327576,0,33.33333333333333,33.33333333333333,,,,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,,,,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,,,,0.5955926146515783,0,-0.5955926146515783,0,33.33333333333333,33.33333333333333,0.4169148302561048,0,-0.4169148302561048,,,,,,,0,33.33333333333333,33.33333333333333
PrepaidTravelCost,1,min,frequency,all_in_one,True,3,1.0,0.0,0.0,0.0,0.0,2.858844550327576,0,-2.858844550327576,0,33.33333333333333,33.33333333333333,,,,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,,,,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,,,,0.5955926146515783,0,-0.5955926146515783,0,33.33333333333333,33.33333333333333,0.4169148302561048,0,-0.4169148302561048,,,,,,,0,33.33333333333333,33.33333333333333
PrepaidTravelCost,1,min,complex,all_in_one,True,1679,1.0,0.9694113919357122,0.949078332964589,0.976303317535545,0.933649289099526,2.858844550327576,0,-2.858844550327576,0,0.4169148302561048,0.4169148302561048,0.0,0.4764740917212627,0.4764740917212627,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.858844550327576,2.858844550327576,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.05955926146515784,0.05955926146515784,0.5955926146515783,0,-0.5955926146515783,0,0.9529481834425254,0.9529481834425254,0.4169148302561048,0,-0.4169148302561048,0.0,94.34187016081,94.34187016081,0.0,0.29779630732578916,0.29779630732578916,0,0.5955926146515783,0.5955926146515783
PrepaidTravelCost,8,avg,simple,all_in_one,True,480,2.0,0.39986115931968064,0.38900634249471455,0.5581395348837209,0.5348837209302325,2.858844550327576,0,-2.858844550327576,0,1.4583333333333333,1.4583333333333333,0.0,4.166666666666666,4.166666666666666,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,4.583333333333333,4.583333333333333,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.4166666666666667,0.4166666666666667,0.5955926146515783,0,-0.5955926146515783,0,1.6666666666666667,1.6666666666666667,0.4169148302561048,0,-0.4169148302561048,0.0,84.375,84.375,0.0,1.0416666666666665,1.0416666666666665,0,2.2916666666666665,2.2916666666666665
PrepaidTravelCost,8,avg,frequency,all_in_one,True,363,2.0,0.47469184369263046,0.4131848970558648,0.5161290322580645,0.41935483870967744,2.858844550327576,0,-2.858844550327576,0,1.9283746556473829,1.9283746556473829,0.0,4.132231404958678,4.132231404958678,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,4.40771349862259,4.40771349862259,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.5509641873278237,0.5509641873278237,0.5955926146515783,0,-0.5955926146515783,0,2.203856749311295,2.203856749311295,0.4169148302561048,0,-0.4169148302561048,0.0,82.36914600550963,82.36914600550963,0.0,1.3774104683195594,1.3774104683195594,0,3.0303030303030303,3.0303030303030303
PrepaidTravelCost,8,avg,complex,all_in_one,True,12757,8.0,0.9581119800455291,0.9391449963311025,0.953360768175583,0.9163237311385459,2.858844550327576,0,-2.858844550327576,0,0.3292310104256487,0.3292310104256487,0.0,0.44681351414909465,0.44681351414909465,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.2497452379085994,2.2497452379085994,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.03135533432625225,0.03135533432625225,0.5955926146515783,0,-0.5955926146515783,0,0.43897468056753153,0.43897468056753153,0.4169148302561048,0,-0.4169148302561048,0.0,95.60241436074313,95.60241436074313,0.0,0.31355334326252254,0.31355334326252254,0,0.5879125186172298,0.5879125186172298
PrepaidTravelCost,21,max,simple,all_in_one,True,906,13.0,0.5206428930185836,0.5070480081716037,0.6454545454545455,0.6181818181818182,2.858844550327576,0,-2.858844550327576,0,0.8830022075055187,0.8830022075055187,0.0,2.6490066225165565,2.6490066225165565,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,4.083885209713024,4.083885209713024,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.22075055187637968,0.22075055187637968,0.5955926146515783,0,-0.5955926146515783,0,0.9933774834437087,0.9933774834437087,0.4169148302561048,0,-0.4169148302561048,0.0,88.0794701986755,88.0794701986755,0.0,1.6556291390728477,1.6556291390728477,0,1.434878587196468,1.434878587196468
PrepaidTravelCost,21,max,frequency,all_in_one,True,677,13.0,0.4910415821642866,0.4864497328800389,0.5492957746478874,0.49295774647887325,2.858844550327576,0,-2.858844550327576,0,1.1816838995568686,1.1816838995568686,0.0,2.658788774002954,2.658788774002954,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,3.9881831610044314,3.9881831610044314,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.29542097488921715,0.29542097488921715,0.5955926146515783,0,-0.5955926146515783,0,1.329394387001477,1.329394387001477,0.4169148302561048,0,-0.4169148302561048,0.0,86.70605612998523,86.70605612998523,0.0,2.06794682422452,2.06794682422452,0,1.7725258493353029,1.7725258493353029
PrepaidTravelCost,21,max,complex,all_in_one,True,14678,21.0,0.9534081757280893,0.9331839544110798,0.9446450060168472,0.9043321299638989,2.858844550327576,0,-2.858844550327576,0,0.2929554435209156,0.2929554435209156,0.0,0.41558795476222915,0.41558795476222915,0.05955926146515784,0,-0.05955926146515784,0.29779630732578916,0,-0.29779630732578916,0.9529481834425254,0,-0.9529481834425254,0.0,2.0643139392287777,2.0643139392287777,0.4764740917212627,0,-0.4764740917212627,94.34187016081,0,-94.34187016081,0.0,0.02725166916473634,0.02725166916473634,0.5955926146515783,0,-0.5955926146515783,0,0.38833628559749284,0.38833628559749284,0.4169148302561048,0,-0.4169148302561048,0.0,95.81686878321297,95.81686878321297,0.0,0.45646545850933373,0.45646545850933373,0,0.5382204660035427,0.5382204660035427
