dataset,prefix_length,prefix_length_name,encoding_type,generation_type,preprocessing_applied,total_feature_vectors,multiplication_ratio,f1_rf,f1_dt,accuracy_rf,accuracy_dt,Request For Payment REJECTED by EMPLOYEE_original,Request For Payment REJECTED by EMPLOYEE_encoded,Request For Payment REJECTED by EMPLOYEE_change,6_original,6_encoded,6_change,2_original,2_encoded,2_change,Request For Payment REJECTED by ADMINISTRATION_original,Request For Payment REJECTED by ADMINISTRATION_encoded,Request For Payment REJECTED by ADMINISTRATION_change,Request For Payment SAVED by EMPLOYEE_original,Request For Payment SAVED by EMPLOYEE_encoded,Request For Payment SAVED by EMPLOYEE_change,5_original,5_encoded,5_change,Request For Payment FINAL_APPROVED by DIRECTOR_original,Request For Payment FINAL_APPROVED by DIRECTOR_encoded,Request For Payment FINAL_APPROVED by DIRECTOR_change,Payment Handled_original,Payment Handled_encoded,Payment Handled_change,4_original,4_encoded,4_change,8_original,8_encoded,8_change,Request For Payment REJECTED by MISSING_original,Request For Payment REJECTED by MISSING_encoded,Request For Payment REJECTED by MISSING_change,0_original,0_encoded,0_change,1_original,1_encoded,1_change,Request For Payment FINAL_APPROVED by SUPERVISOR_original,Request For Payment FINAL_APPROVED by SUPERVISOR_encoded,Request For Payment FINAL_APPROVED by SUPERVISOR_change
RequestForPayment,20,max,simple,only_this,False,5508,1.0,0.9913447440896702,0.9920409047812543,0.9942028985507246,0.9942028985507246,6.499636891793754,0,-6.499636891793754,0.0,0.7443718228031954,0.7443718228031954,0.0,0.19970951343500362,0.19970951343500362,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,6.499636891793754,6.499636891793754,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0,1.0530137981118373,1.0530137981118373,0.7443718228031954,0,-0.7443718228031954,0,91.46695715323166,91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,20,max,simple,only_this,True,81,1.0,0.13333333333333333,0.0,0.2,0.0,6.499636891793754,0,-6.499636891793754,0.0,4.938271604938271,4.938271604938271,0.0,4.938271604938271,4.938271604938271,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,18.51851851851852,18.51851851851852,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,1.2345679012345678,1.2345679012345678,0,2.4691358024691357,2.4691358024691357,0.7443718228031954,0,-0.7443718228031954,0,66.66666666666666,66.66666666666666,0.0,1.2345679012345678,1.2345679012345678,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,1,min,simple,all_in_one,False,5508,1.0,0.9117902877737245,0.9117902877737245,0.9405797101449276,0.9405797101449276,6.499636891793754,0,-6.499636891793754,0.0,0.7443718228031954,0.7443718228031954,0.0,0.19970951343500362,0.19970951343500362,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,6.499636891793754,6.499636891793754,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0,1.0530137981118373,1.0530137981118373,0.7443718228031954,0,-0.7443718228031954,0,91.46695715323166,91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,1,min,frequency,all_in_one,False,5508,1.0,0.9117902877737245,0.9117902877737245,0.9405797101449276,0.9405797101449276,6.499636891793754,0,-6.499636891793754,0.0,0.7443718228031954,0.7443718228031954,0.0,0.19970951343500362,0.19970951343500362,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,6.499636891793754,6.499636891793754,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0,1.0530137981118373,1.0530137981118373,0.7443718228031954,0,-0.7443718228031954,0,91.46695715323166,91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,1,min,complex,all_in_one,False,5508,1.0,0.9913190849452057,0.9933424294878321,0.9942028985507246,0.9942028985507246,6.499636891793754,0,-6.499636891793754,0.0,0.7443718228031954,0.7443718228031954,0.0,0.19970951343500362,0.19970951343500362,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,6.499636891793754,6.499636891793754,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0,1.0530137981118373,1.0530137981118373,0.7443718228031954,0,-0.7443718228031954,0,91.46695715323166,91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,5,avg,simple,all_in_one,False,26028,5.0,0.9419061232595224,0.9419061232595224,0.9608136404427161,0.9608136404427161,6.499636891793754,0,-6.499636891793754,0.0,0.599354541263255,0.599354541263255,0.0,0.11526048870447211,0.11526048870447211,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,4.4797909943138166,4.4797909943138166,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01536806516059628,0.01536806516059628,0,0.24588904256954047,0.24588904256954047,0.7443718228031954,0,-0.7443718228031954,0,94.53281081911787,94.53281081911787,0.0,0.01152604887044721,0.01152604887044721,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,5,avg,frequency,all_in_one,False,26028,5.0,0.9419061232595224,0.9419061232595224,0.9608136404427161,0.9608136404427161,6.499636891793754,0,-6.499636891793754,0.0,0.599354541263255,0.599354541263255,0.0,0.11526048870447211,0.11526048870447211,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,4.4797909943138166,4.4797909943138166,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01536806516059628,0.01536806516059628,0,0.24588904256954047,0.24588904256954047,0.7443718228031954,0,-0.7443718228031954,0,94.53281081911787,94.53281081911787,0.0,0.01152604887044721,0.01152604887044721,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,5,avg,complex,all_in_one,False,26028,5.0,0.993274938037856,0.9947921260500135,0.9952138797487287,0.9952138797487287,6.499636891793754,0,-6.499636891793754,0.0,0.599354541263255,0.599354541263255,0.0,0.11526048870447211,0.11526048870447211,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,4.4797909943138166,4.4797909943138166,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01536806516059628,0.01536806516059628,0,0.24588904256954047,0.24588904256954047,0.7443718228031954,0,-0.7443718228031954,0,94.53281081911787,94.53281081911787,0.0,0.01152604887044721,0.01152604887044721,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,20,max,simple,all_in_one,False,29305,16.0,0.9580908784150546,0.9478055423187024,0.9634861407249466,0.964818763326226,6.499636891793754,0,-6.499636891793754,0.0,0.5732810100665415,0.5732810100665415,0.0,0.10919638286981743,0.10919638286981743,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,4.091451970653472,4.091451970653472,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01364954785872718,0.01364954785872718,0,0.21839276573963487,0.21839276573963487,0.7443718228031954,0,-0.7443718228031954,0,94.98379116191776,94.98379116191776,0.0,0.010237160894045385,0.010237160894045385,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,20,max,frequency,all_in_one,False,29305,16.0,0.9580908784150546,0.9478055423187024,0.9634861407249466,0.964818763326226,6.499636891793754,0,-6.499636891793754,0.0,0.5732810100665415,0.5732810100665415,0.0,0.10919638286981743,0.10919638286981743,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,4.091451970653472,4.091451970653472,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01364954785872718,0.01364954785872718,0,0.21839276573963487,0.21839276573963487,0.7443718228031954,0,-0.7443718228031954,0,94.98379116191776,94.98379116191776,0.0,0.010237160894045385,0.010237160894045385,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,20,max,complex,all_in_one,False,29305,16.0,0.9934755779677955,0.9950711526092736,0.9954690831556503,0.9954690831556503,6.499636891793754,0,-6.499636891793754,0.0,0.5732810100665415,0.5732810100665415,0.0,0.10919638286981743,0.10919638286981743,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,4.091451970653472,4.091451970653472,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01364954785872718,0.01364954785872718,0,0.21839276573963487,0.21839276573963487,0.7443718228031954,0,-0.7443718228031954,0,94.98379116191776,94.98379116191776,0.0,0.010237160894045385,0.010237160894045385,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,1,min,simple,all_in_one,True,2,1.0,,,,,6.499636891793754,0,-6.499636891793754,,,,,,,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,,,,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,,,,0,50.0,50.0,0.7443718228031954,0,-0.7443718228031954,0,50.0,50.0,,,,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,1,min,frequency,all_in_one,True,2,1.0,,,,,6.499636891793754,0,-6.499636891793754,,,,,,,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,,,,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,,,,0,50.0,50.0,0.7443718228031954,0,-0.7443718228031954,0,50.0,50.0,,,,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,1,min,complex,all_in_one,True,5508,1.0,0.9913190849452057,0.9933424294878321,0.9942028985507246,0.9942028985507246,6.499636891793754,0,-6.499636891793754,0.0,0.7443718228031954,0.7443718228031954,0.0,0.19970951343500362,0.19970951343500362,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,6.499636891793754,6.499636891793754,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0,1.0530137981118373,1.0530137981118373,0.7443718228031954,0,-0.7443718228031954,0,91.46695715323166,91.46695715323166,0.0,0.01815541031227306,0.01815541031227306,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,5,avg,simple,all_in_one,True,83,2.0,0.0,0.0,0.0,0.0,6.499636891793754,0,-6.499636891793754,0.0,7.228915662650602,7.228915662650602,0.0,1.2048192771084338,1.2048192771084338,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,13.253012048192772,13.253012048192772,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,1.2048192771084338,1.2048192771084338,0,2.4096385542168677,2.4096385542168677,0.7443718228031954,0,-0.7443718228031954,0,74.69879518072288,74.69879518072288,,,,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,5,avg,frequency,all_in_one,True,78,2.0,0.7211538461538461,0.7211538461538461,0.625,0.625,6.499636891793754,0,-6.499636891793754,0.0,7.6923076923076925,7.6923076923076925,0.0,1.282051282051282,1.282051282051282,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,11.538461538461538,11.538461538461538,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,1.282051282051282,1.282051282051282,0,2.564102564102564,2.564102564102564,0.7443718228031954,0,-0.7443718228031954,0,75.64102564102564,75.64102564102564,,,,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,5,avg,complex,all_in_one,True,26028,5.0,0.993274938037856,0.9947921260500135,0.9952138797487287,0.9952138797487287,6.499636891793754,0,-6.499636891793754,0.0,0.599354541263255,0.599354541263255,0.0,0.11526048870447211,0.11526048870447211,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,4.4797909943138166,4.4797909943138166,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01536806516059628,0.01536806516059628,0,0.24588904256954047,0.24588904256954047,0.7443718228031954,0,-0.7443718228031954,0,94.53281081911787,94.53281081911787,0.0,0.01152604887044721,0.01152604887044721,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,20,max,simple,all_in_one,True,309,7.5,0.0,0.0,0.0,0.0,6.499636891793754,0,-6.499636891793754,0.0,2.5889967637540456,2.5889967637540456,0.0,0.9708737864077669,0.9708737864077669,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,7.119741100323624,7.119741100323624,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.3236245954692557,0.3236245954692557,0,0.6472491909385114,0.6472491909385114,0.7443718228031954,0,-0.7443718228031954,0,88.3495145631068,88.3495145631068,,,,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,20,max,frequency,all_in_one,True,286,7.5,0.0,0.0,0.0,0.0,6.499636891793754,0,-6.499636891793754,0.0,2.797202797202797,2.797202797202797,0.0,1.048951048951049,1.048951048951049,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,6.993006993006993,6.993006993006993,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.34965034965034963,0.34965034965034963,0,0.6993006993006993,0.6993006993006993,0.7443718228031954,0,-0.7443718228031954,0,88.11188811188812,88.11188811188812,,,,0.19970951343500362,0,-0.19970951343500362
RequestForPayment,20,max,complex,all_in_one,True,29305,16.0,0.9934755779677955,0.9950711526092736,0.9954690831556503,0.9954690831556503,6.499636891793754,0,-6.499636891793754,0.0,0.5732810100665415,0.5732810100665415,0.0,0.10919638286981743,0.10919638286981743,0.01815541031227306,0,-0.01815541031227306,1.0530137981118373,0,-1.0530137981118373,0.0,4.091451970653472,4.091451970653472,0.01815541031227306,0,-0.01815541031227306,91.46695715323166,0,-91.46695715323166,0.0,0.01364954785872718,0.01364954785872718,0,0.21839276573963487,0.21839276573963487,0.7443718228031954,0,-0.7443718228031954,0,94.98379116191776,94.98379116191776,0.0,0.010237160894045385,0.010237160894045385,0.19970951343500362,0,-0.19970951343500362
