dataset,prefix_length,prefix_length_name,encoding_type,generation_type,preprocessing_applied,total_feature_vectors,multiplication_ratio,f1_rf,f1_dt,accuracy_rf,accuracy_dt,6_original,6_encoded,6_change,Send Appeal to Prefecture_original,Send Appeal to Prefecture_encoded,Send Appeal to Prefecture_change,2_original,2_encoded,2_change,5_original,5_encoded,5_change,Send Fine_original,Send Fine_encoded,Send Fine_change,0_original,0_encoded,0_change,Send for Credit Collection_original,Send for Credit Collection_encoded,Send for Credit Collection_change,Appeal to Judge_original,Appeal to Judge_encoded,Appeal to Judge_change,Notify Result Appeal to Offender_original,Notify Result Appeal to Offender_encoded,Notify Result Appeal to Offender_change,4_original,4_encoded,4_change,Receive Result Appeal from Prefecture_original,Receive Result Appeal from Prefecture_encoded,Receive Result Appeal from Prefecture_change,Payment_original,Payment_encoded,Payment_change,1_original,1_encoded,1_change,3_original,3_encoded,3_change
Road_Traffic_Fine_Management_Process,20,max,simple,only_this,False,120296,1.0,0.9987084159813826,0.9987887988887992,0.9988029527166323,0.998869455343486,0.0,37.5149630910421,37.5149630910421,2.128915342156015,0,-2.128915342156015,0,45.5185542328922,45.5185542328922,0,14.661335372747223,14.661335372747223,14.661335372747223,0,-14.661335372747223,0.0,0.08063443506018488,0.08063443506018488,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.128915342156015,2.128915342156015,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.059021081332712645,0.059021081332712645,0.0,0.0365764447695684,0.0365764447695684
Road_Traffic_Fine_Management_Process,20,max,simple,only_this,True,182,1.0,0.6371191135734072,0.832118758434548,0.7105263157894737,0.8421052631578947,0.0,19.230769230769234,19.230769230769234,2.128915342156015,0,-2.128915342156015,0,50.0,50.0,0,2.7472527472527473,2.7472527472527473,14.661335372747223,0,-14.661335372747223,0.0,6.043956043956044,6.043956043956044,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,12.637362637362637,12.637362637362637,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,6.043956043956044,6.043956043956044,0.0,3.296703296703297,3.296703296703297
Road_Traffic_Fine_Management_Process,2,min,simple,all_in_one,False,240592,1.0,0.4964954275991407,0.4964954275991407,0.5410321207687704,0.5410321207687704,0.0,37.5149630910421,37.5149630910421,2.128915342156015,0,-2.128915342156015,0,45.5185542328922,45.5185542328922,0,14.661335372747223,14.661335372747223,14.661335372747223,0,-14.661335372747223,0.0,0.08063443506018488,0.08063443506018488,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.128915342156015,2.128915342156015,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.059021081332712645,0.059021081332712645,0.0,0.0365764447695684,0.0365764447695684
Road_Traffic_Fine_Management_Process,2,min,frequency,all_in_one,False,240592,1.0,0.4964954275991407,0.4964954275991407,0.5410321207687704,0.5410321207687704,0.0,37.5149630910421,37.5149630910421,2.128915342156015,0,-2.128915342156015,0,45.5185542328922,45.5185542328922,0,14.661335372747223,14.661335372747223,14.661335372747223,0,-14.661335372747223,0.0,0.08063443506018488,0.08063443506018488,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.128915342156015,2.128915342156015,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.059021081332712645,0.059021081332712645,0.0,0.0365764447695684,0.0365764447695684
Road_Traffic_Fine_Management_Process,2,min,complex,all_in_one,False,240592,1.0,0.9940195165782637,0.9964718402860124,0.9945800359114185,0.9964753607767507,0.0,37.5149630910421,37.5149630910421,2.128915342156015,0,-2.128915342156015,0,45.5185542328922,45.5185542328922,0,14.661335372747223,14.661335372747223,14.661335372747223,0,-14.661335372747223,0.0,0.08063443506018488,0.08063443506018488,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.128915342156015,2.128915342156015,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.059021081332712645,0.059021081332712645,0.0,0.0365764447695684,0.0365764447695684
Road_Traffic_Fine_Management_Process,3,avg,simple,all_in_one,False,304428,1.5,0.5579561351571148,0.5579561351571148,0.5899905665061318,0.5899905665061318,0.0,44.47258465055776,44.47258465055776,2.128915342156015,0,-2.128915342156015,0,41.129265376377994,41.129265376377994,0,11.665484121040116,11.665484121040116,14.661335372747223,0,-14.661335372747223,0.0,0.0955891048129607,0.0955891048129607,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.523749457999921,2.523749457999921,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.06996728290433206,0.06996728290433206,0.0,0.04336000630691001,0.04336000630691001
Road_Traffic_Fine_Management_Process,3,avg,frequency,all_in_one,False,304428,1.5,0.5573165170310659,0.5573165170310659,0.5902139913609056,0.5902139913609056,0.0,44.47258465055776,44.47258465055776,2.128915342156015,0,-2.128915342156015,0,41.129265376377994,41.129265376377994,0,11.665484121040116,11.665484121040116,14.661335372747223,0,-14.661335372747223,0.0,0.0955891048129607,0.0955891048129607,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.523749457999921,2.523749457999921,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.06996728290433206,0.06996728290433206,0.0,0.04336000630691001,0.04336000630691001
Road_Traffic_Fine_Management_Process,3,avg,complex,all_in_one,False,304428,1.5,0.9939139509202287,0.995608149973414,0.9944640285983815,0.9956059778561144,0.0,44.47258465055776,44.47258465055776,2.128915342156015,0,-2.128915342156015,0,41.129265376377994,41.129265376377994,0,11.665484121040116,11.665484121040116,14.661335372747223,0,-14.661335372747223,0.0,0.0955891048129607,0.0955891048129607,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,2.523749457999921,2.523749457999921,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.06996728290433206,0.06996728290433206,0.0,0.04336000630691001,0.04336000630691001
Road_Traffic_Fine_Management_Process,20,max,simple,all_in_one,False,440797,10.0,0.6729305533292949,0.6730304109284128,0.6911136179475365,0.6911612831471743,0.0,51.70429925793506,51.70429925793506,2.128915342156015,0,-2.128915342156015,0,36.400202360723874,36.400202360723874,0,8.057677343539089,8.057677343539089,14.661335372747223,0,-14.661335372747223,0.0,0.1667434215750107,0.1667434215750107,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,3.4737078519136926,3.4737078519136926,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.12795005410653884,0.12795005410653884,0.0,0.06941971020673915,0.06941971020673915
Road_Traffic_Fine_Management_Process,20,max,frequency,all_in_one,False,440797,10.0,0.671220084481896,0.6712466417709032,0.6901285371550231,0.6901285371550231,0.0,51.70429925793506,51.70429925793506,2.128915342156015,0,-2.128915342156015,0,36.400202360723874,36.400202360723874,0,8.057677343539089,8.057677343539089,14.661335372747223,0,-14.661335372747223,0.0,0.1667434215750107,0.1667434215750107,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,3.4737078519136926,3.4737078519136926,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.12795005410653884,0.12795005410653884,0.0,0.06941971020673915,0.06941971020673915
Road_Traffic_Fine_Management_Process,20,max,complex,all_in_one,False,440797,10.0,0.9918831822736114,0.990762101873715,0.9923894564578402,0.9907052860706398,0.0,51.70429925793506,51.70429925793506,2.128915342156015,0,-2.128915342156015,0,36.400202360723874,36.400202360723874,0,8.057677343539089,8.057677343539089,14.661335372747223,0,-14.661335372747223,0.0,0.1667434215750107,0.1667434215750107,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,3.4737078519136926,3.4737078519136926,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.12795005410653884,0.12795005410653884,0.0,0.06941971020673915,0.06941971020673915
Road_Traffic_Fine_Management_Process,2,min,simple,all_in_one,True,5,0.6666666666666666,0.0,0.0,0.0,0.0,,,,2.128915342156015,0,-2.128915342156015,0,40.0,40.0,0,40.0,40.0,14.661335372747223,0,-14.661335372747223,,,,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,20.0,20.0,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,,,,,,
Road_Traffic_Fine_Management_Process,2,min,frequency,all_in_one,True,5,0.6666666666666666,0.0,0.0,0.0,0.0,,,,2.128915342156015,0,-2.128915342156015,0,40.0,40.0,0,40.0,40.0,14.661335372747223,0,-14.661335372747223,,,,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,20.0,20.0,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,,,,,,
Road_Traffic_Fine_Management_Process,2,min,complex,all_in_one,True,31762,1.1201312910284464,0.9729502737929949,0.9850134165698121,0.9756479635431501,0.9851894047279978,0.0,33.889553554562056,33.889553554562056,2.128915342156015,0,-2.128915342156015,0,41.1025754045715,41.1025754045715,0,15.531137837667652,15.531137837667652,14.661335372747223,0,-14.661335372747223,0.0,0.5478244443045148,0.5478244443045148,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,8.226811913607456,8.226811913607456,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.4376298721742963,0.4376298721742963,0.0,0.26446697311252443,0.26446697311252443
Road_Traffic_Fine_Management_Process,3,avg,simple,all_in_one,True,15,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667,2.128915342156015,0,-2.128915342156015,0,53.333333333333336,53.333333333333336,0,13.333333333333334,13.333333333333334,14.661335372747223,0,-14.661335372747223,0.0,6.666666666666667,6.666666666666667,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,13.333333333333334,13.333333333333334,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,6.666666666666667,6.666666666666667,,,
Road_Traffic_Fine_Management_Process,3,avg,frequency,all_in_one,True,12,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,8.333333333333332,8.333333333333332,2.128915342156015,0,-2.128915342156015,0,58.333333333333336,58.333333333333336,0,16.666666666666664,16.666666666666664,14.661335372747223,0,-14.661335372747223,,,,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,8.333333333333332,8.333333333333332,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,8.333333333333332,8.333333333333332,,,
Road_Traffic_Fine_Management_Process,3,avg,complex,all_in_one,True,45267,1.6801969365426694,0.9777099437335148,0.9814827339107637,0.9798453892876864,0.9799374194735874,0.0,38.69485497161288,38.69485497161288,2.128915342156015,0,-2.128915342156015,0,39.88114962334593,39.88114962334593,0,11.18695738617536,11.18695738617536,14.661335372747223,0,-14.661335372747223,0.0,0.5832063092318908,0.5832063092318908,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,8.913778249055603,8.913778249055603,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.46170499480858024,0.46170499480858024,0.0,0.278348465769766,0.278348465769766
Road_Traffic_Fine_Management_Process,20,max,simple,all_in_one,True,319,2.0,0.6400537183145878,0.66901846513497,0.6756756756756757,0.6351351351351351,0.0,20.06269592476489,20.06269592476489,2.128915342156015,0,-2.128915342156015,0,55.4858934169279,55.4858934169279,0,0.6269592476489028,0.6269592476489028,14.661335372747223,0,-14.661335372747223,0.0,3.761755485893417,3.761755485893417,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,13.166144200626958,13.166144200626958,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,5.6426332288401255,5.6426332288401255,0.0,1.2539184952978055,1.2539184952978055
Road_Traffic_Fine_Management_Process,20,max,frequency,all_in_one,True,123,2.0,0.9324009324009324,0.9324009324009324,0.9545454545454546,0.9545454545454546,0.0,13.821138211382115,13.821138211382115,2.128915342156015,0,-2.128915342156015,0,65.85365853658537,65.85365853658537,0,1.6260162601626018,1.6260162601626018,14.661335372747223,0,-14.661335372747223,0.0,2.4390243902439024,2.4390243902439024,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,12.195121951219512,12.195121951219512,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,1.6260162601626018,1.6260162601626018,0.0,2.4390243902439024,2.4390243902439024
Road_Traffic_Fine_Management_Process,20,max,complex,all_in_one,True,79747,11.201312910284463,0.978634088908003,0.9775171857486207,0.9801153974536264,0.9773496733584474,0.0,41.18148645090097,41.18148645090097,2.128915342156015,0,-2.128915342156015,0,39.913727162150295,39.913727162150295,0,6.356351963083251,6.356351963083251,14.661335372747223,0,-14.661335372747223,0.0,0.8464268248335362,0.8464268248335362,37.5149630910421,0,-37.5149630910421,0.08063443506018488,0,-0.08063443506018488,0.059021081332712645,0,-0.059021081332712645,0,10.639898679574152,10.639898679574152,0.0365764447695684,0,-0.0365764447695684,45.5185542328922,0,-45.5185542328922,0.0,0.6959509448631296,0.6959509448631296,0.0,0.3661579745946556,0.3661579745946556
